Aurung	1959	11	9
Aurung	1960	7	7
Aurung	1961	6	4
Aurung	1962	9	8
Aurung	1963	1	1
Aurung	1965	6	6
Aurung	1966	4	4
Aurung	1967	12	10
Aurung	1968	7	6
Aurung	1969	2	2
Aurung	1970	13	12
Aurung	1971	8	5
Aurung	1972	5	3
Aurung	1973	14	2
Aurung	1974	14	6
Aurung	1975	3	3
Aurung	1976	6	3
Aurung	1977	3	3
Aurung	1978	9	7
Aurung	1979	11	6
Aurung	1980	7	6
Aurung	1981	5	4
Aurung	1983	2	2
Aurung	1984	19	10
Aurung	1985	7	4
Aurung	1986	2	2
Aurung	1987	1	1
Aurung	1988	8	6
Aurung	1989	8	5
Aurung	1990	2	2
Aurung	1991	9	3
Aurung	1992	8	8
Aurung	1993	7	3
Aurung	1995	1	1
Aurung	1996	12	5
Aurung	1997	1	1
Aurung	1998	5	4
Aurung	1999	5	5
Aurung	2000	34	6
Aurung	2001	4	4
Aurung	2002	2	2
Aurung	2003	10	7
Aurung	2004	8	6
Aurung	2005	3	3
Aurung	2006	15	8
Aurung	2007	22	13
Aurung	2008	44	34
Ausbreitungsbedingungen	1923	1	1
Ausbreitungsbedingungen	1929	1	1
Ausbreitungsbedingungen	1931	2	1
Ausbreitungsbedingungen	1932	2	2
Ausbreitungsbedingungen	1938	4	4
Ausbreitungsbedingungen	1960	1	1
Ausbreitungsbedingungen	1961	1	1
Ausbreitungsbedingungen	1962	1	1
Ausbreitungsbedingungen	1963	7	3
Ausbreitungsbedingungen	1965	13	3
Ausbreitungsbedingungen	1966	3	3
Ausbreitungsbedingungen	1968	2	1
Ausbreitungsbedingungen	1971	1	1
Ausbreitungsbedingungen	1975	1	1
Ausbreitungsbedingungen	1976	2	2
Ausbreitungsbedingungen	1978	3	3
Ausbreitungsbedingungen	1982	3	3
Ausbreitungsbedingungen	1983	1	1
Ausbreitungsbedingungen	1984	1	1
Ausbreitungsbedingungen	1987	1	1
Ausbreitungsbedingungen	1988	3	3
Ausbreitungsbedingungen	1989	2	2
Ausbreitungsbedingungen	1991	1	1
Ausbreitungsbedingungen	1993	2	1
Ausbreitungsbedingungen	1994	4	2
